transaction_id,timestamp,merchant_id,customer_id,amount,risk_score,decision,reason_codes,review_state,actual_label,amount_zscore_past,is_new_device,ip_txn_count_10min_past,customer_txn_count_10min_past,customer_failed_attempts_1h_past,country_mismatch
TXN_f6bb83203c,2026-08-26 07:58:39.107746,M_0003,C_00112,50.0,0.0402,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-1.7113399042300137,0,0,0,0,0
TXN_90081d13c5,2026-08-26 08:05:03.378762,M_0008,C_00626,3249.73,0.088,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.07143490734007263,0,0,0,0,0
TXN_7e2cebe9fe,2026-08-26 08:07:03.591376,M_0011,C_00136,3838.58,0.0064,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.556776646009566,0,0,0,0,0
TXN_a9413c5dd5,2026-08-26 08:07:36.821145,M_0004,C_00457,1014.69,0.1202,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.43353134590270864,0,0,0,0,0
TXN_caad6ea25e,2026-08-26 08:10:49.746875,M_0001,C_00269,6843.33,0.0977,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,0.7202552920178302,0,0,0,0,0
TXN_2a8e7e2807,2026-08-26 08:11:44.932853,M_0008,C_00737,7432.85,0.7837,VERIFY,Elevated amount vs merchant history | Previously unseen device,STEP_UP_REQUIRED,1,2.2394644169182025,1,0,0,0,0
TXN_9ba75b5a44,2026-08-26 08:25:03.814781,M_0011,C_00038,5902.81,0.0209,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,0.31447735011955286,0,0,0,0,0
TXN_9f955f74ba,2026-08-26 08:28:24.251502,M_0006,C_00700,873.25,0.0379,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,0.15711763495448375,0,0,0,0,0
TXN_aa1d3db0c3,2026-08-26 08:30:02.643542,M_0014,C_00010,1210.89,0.0658,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.3400045611330009,0,0,0,0,0
TXN_0c3594d126,2026-08-26 08:34:49.369214,M_0009,C_00521,1075.87,0.0229,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-1.2744198575476329,0,0,0,0,0
TXN_2869a5276e,2026-08-26 08:37:31.153067,M_0014,C_00484,1088.02,0.0422,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.5673144734889476,0,0,0,0,0
TXN_988a7da997,2026-08-26 08:40:47.170713,M_0010,C_00325,953.09,0.0609,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,0.673772625063584,0,0,0,0,0
TXN_e60dce7b5b,2026-08-26 08:50:07.860423,M_0012,C_00757,2600.58,0.0712,ALLOW,No significant risk indicators — consistent with observed behaviour,NO_ACTION,0,-0.6590617134878013,0,0,0,0,0
